"海天味业[603288.SH] - 资产负债表 (单位 : 万元 , CNY  )",2023-03-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
报告期,一季报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
    递延所得税资产,"57,820.20","65,332.63","69,840.84","62,532.47","38,367.64","14,461.49","7,861.90","5,733.35","9,890.16","8,461.81","6,551.17","4,159.50","3,007.93","1,739.87","1,353.16"
    其他非流动资产,"1,565.16","9,185.38","2,936.11",,0.00,"1,154.26","1,154.26",274.69,671.06,753.24,"5,264.15",,,,
    非流动资产差额(特殊报表科目),,,,,,,,,,,,,,,
    非流动资产差额(合计平衡项目),,,,,,,,,,,,,,,
    非流动资产合计,"707,827.82","708,558.74","575,885.13","533,348.34","448,452.10","433,602.78","454,158.52","463,538.93","432,324.40","396,798.39","331,111.80","264,545.50","237,632.09","200,290.91","119,065.00"
资产差额(特殊报表科目),,,,,,,,,,,,,,,
资产差额(合计平衡项目),,,,,,,,,,,,,,,
资产总计,"3,455,804.28","3,405,917.59","3,333,772.45","2,953,362.00","2,475,388.81","2,014,378.89","1,633,601.23","1,346,359.30","1,149,800.22","1,100,059.46","672,212.33","611,020.44","465,163.15","394,642.37","400,591.20"
流动负债：,,,,,,,,,,,,,,,
    短期借款,"12,169.99","13,172.01","10,460.00","9,260.00","1,960.00","1,960.00",,,,,,,,,"6,310.49"
    交易性金融负债,,,,,,,,,,,,,,,53.20
    衍生金融负债,,,,,,,,,,,,,,,
        应付票据及应付账款,"108,101.06","130,026.19","207,353.07","141,473.21","129,847.17","74,483.98","55,605.42","57,519.99","58,483.32","59,924.80","46,385.15","31,505.36","30,418.14","27,234.94","30,398.45"
                    应付票据,,,"46,657.96","41,336.87","39,752.54","6,728.40",114.41,"2,826.87",,,,,,,
                    应付账款,"108,101.06","130,026.19","160,695.11","100,136.34","90,094.63","67,755.58","55,491.01","54,693.12","58,483.32","59,924.80","46,385.15","31,505.36","30,418.14","27,234.94","30,398.45"
    预收款项,,,,,"409,799.62","323,679.30","267,869.10","180,925.45","111,886.52","202,208.40","173,622.33","164,856.66","78,492.75","72,304.73","71,161.08"
    合同负债,"225,187.85","294,811.10","470,862.13","445,153.55",,,,,,,,,,,
    应付手续费及佣金,,,,,,,,,,,,,,,
